strain,orien,roundness,aspect,size,tilt,nearest_grain,ferrite_bainite,size4,division
2.0,2.0,0.5720000000000001,0.6990000000000001,0.3974469418122014,48.69499999999999,41.0488,1.0,0.25648053880491817,35.467980295566505
3.0,3.0,0.381,0.619,0.8575456182943065,55.78,52.0096,1.0,0.6343488135327747,26.02739726027397
2.0,1.0,0.245,0.606,1.9940872425405283,80.736,45.0,1.0,0.8810400187955204,55.81737849779087
1.0,1.0,0.341,0.636,0.32598480695434257,27.53,32.8938,1.0,0.06656746808677265,79.57957957957959
1.0,3.0,0.214,0.545,0.3543738742266427,25.64599999999999,63.0714,1.0,0.21340747121935932,39.7790055248619
2.0,1.0,0.226,0.417,0.9211762863184276,68.173,58.3095,1.0,0.8908293523376928,3.2943676939426467
2.0,3.0,0.242,0.555,0.7988096170412718,29.232,28.6356,1.0,0.5912757459472159,25.98039215686275
0.0,3.0,0.5429999999999999,0.6629999999999999,0.3210901401832563,35.712,30.5941,1.0,0.2271125381784008,29.268292682926827
1.0,1.0,0.459,0.89,1.4762314981596052,1.9480000000000075,30.5941,1.0,0.4738037434411465,67.90450928381964
1.0,2.0,0.601,0.946,0.475761610149581,30.873999999999995,41.0488,1.0,0.3680789411856841,22.63374485596707
1.0,2.0,0.318,0.483,0.3788472080820738,16.686000000000007,32.8938,1.0,0.13900853629884874,63.30749354005169
2.0,3.0,0.45,0.406,0.3974469418122014,32.234,47.0425,0.0,0.3524160075182082,11.330049261083744
2.0,3.0,0.131,0.4320000000000001,3.6445688777508014,68.238,45.0,1.0,2.094917378024904,42.51947354284179
1.0,2.0,0.391,0.615,1.0954264233690971,12.259,45.7056,1.0,0.6186858798652988,43.52100089365504
1.0,1.0,0.28800000000000003,0.412,2.13896937896468,28.586,63.3482,0.0,1.842352572636855,13.86727688787184
2.0,1.0,0.29100000000000004,0.334,1.3979168298222258,2.587999999999994,47.0425,1.0,0.8203461508340512,41.316526610644274
1.0,2.0,0.438,0.581,0.31521654005795285,38.755,38.8973,1.0,0.19578667084344892,37.88819875776398
1.0,3.0,0.224,0.285,0.4561829430652361,30.564,37.3363,0.0,0.31521654005795285,30.901287553648075
0.0,3.0,0.265,0.736,1.8139635053645544,5.7860000000000005,47.0425,1.0,0.8614613517111755,52.509444144630315
1.0,3.0,0.14400000000000002,0.679,1.2863184274414596,33.534,37.3363,1.0,0.7048320150364163,45.20547945205479
1.0,0.0,0.095,0.4,2.2495888479912285,27.16800000000001,61.0737,0.0,1.6543973686271436,26.457789382071372
2.0,0.0,0.13,0.091,0.6235805466363851,54.06699999999999,31.7805,0.0,0.5462448116532227,12.401883830455263
